Action film, Science fiction film, 1.5136, 1.5136
Aircraft, Airliner, 1.5136, 1.5136
Egyptian pyramids, Great Wall of China, 1.9434, 3.0272
Artificial intelligence, Cloud computing, 1.5136, 1.5136
Blog, Email, 1.5136, 1.5136
Book, Paper, 1.3703, 0.1433
Computer, Internet, 0.1433, 0.8364
Financial crisis, Bank, 1.5136, 1.5136
Category:Educators, Category:Educational theorists, 2.8839, 1.6568
Food safety, Health education, 1.5136, 1.5136
Fruit, Food, 1.3703, 0.1433
Health, Wealth, 3.8516, 3.7203
Knowledge, Information, 1.3436, 1.5136
Laptop, Tablet computer, 1.3703, 0.1433
Law, Lawyer, 1.5136, 1.5136
Literature, Medicine, 1.5136, 1.5136
Mobile phone, Television, 1.3703, 0.1433
National Basketball Association, Athletic sport, 3.4570, 2.4468
PC game, Online game, 1.3703, 0.1433
People, Human, 1.5136, 1.5136
President, Civil servant, 2.3380, 2.2067
Public transport, Train, 0.9797, 1.5136
Religion, Monk, 1.5136, 1.5136
Scholar, Academia, 1.5136, 1.5136
Scholar, Academic, 1.5136, 1.5136
Social network, Facebook, 3.1704, 3.1704
Spring festival, Christmas, 1.6568, 2.8839
Swimming, Water sport, 1.5136, 1.5136
Transport, Car, 1.5136, 1.5136
Travel agency, Service industry, 4.8112, 4.2862
