Action film,Science fiction film
Aircraft,Airliner
Egyptian pyramids,Great Wall of China
Artificial intelligence,Cloud computing
Blog,Email
Book,Paper
Computer,Internet
Financial crisis,Bank
Category:Educators,Category:Educational theorists
Food safety,Health education
Fruit,Food
Health,Wealth
Knowledge,Information
Laptop,Tablet computer
Law,Lawyer
Literature,Medicine
Mobile phone,Television
National Basketball Association,Athletic sport
PC game,Online game
People,Human
President,Civil servant
Public transport,Train
Religion,Monk
Scholar,Academia
Scholar,Academic
Social network,Facebook
Spring festival,Christmas
Swimming,Water sport
Transport,Car
Travel agency,Service industry
