Action films,Science fiction films
Aircraft,Airliners
Ancient Egyptian pyramids,Great Wall of China
Artificial intelligence,Cloud computing
Blogs,Email
Books,Paper
Computers,Internet
Financial crises,Banks
Educators,Educational theorists
Food safety,Health education
Fruit,Foods
Health,Wealth
Knowledge,Information
Laptops,Tablet computers
Law,Lawyers
Literature,Medicine
Mobile phones,Television
National Basketball Association,Athletic sports
PC games,Online games
People,Humans
Presidents,Civil servants
Public transport,Trains
Religion,Monks
Scholar,Academia
Scholar,Academics
Social networks,Facebook
Spring festivals,Christmas
Swimming,Water sports
Transport,Cars
Travel agencies,Service industries
