Action film,Science fiction film,2.25
Aircraft,Airliner,2.98
Egyptian pyramids,Great Wall of China,1.62
Artificial intelligence,Cloud computing,1.28
Blog,Email,1.16
Book,Paper,1.78
Computer,Internet,2.25
Financial crisis,Bank,1.92
Category:Educators,Category:Educational theorists,3.23
Food safety,Health education,1.10
Fruit,Food,2.65
Health,Wealth,1.74
Knowledge,Information,2.99
Laptop,Tablet computer,2.99
Law,Lawyer,2.36
Literature,Medicine,0.48
Mobile phone,Television,1.12
National Basketball Association,Athletic sport,2.40
PC game,Online game,2.35
People,Human,2.46
President,Civil servant,2.03
Public transport,Train,2.62
Religion,Monk,2.56
Scholar,Academia,2.53
Scholar,Academic,3.77
Social network,Facebook,2.78
Spring festival,Christmas,2.19
Swimming,Water sport,2.62
Transport,Car,2.37
Travel agency,Service industry,1.96
